unit,blanco,brown,bush,chertoff,landrieu,nagin,vitter,ranking,treat,form,female,age,educ,ideology,partyid3
79,2,4,1,3,7,5,6,2413756,1,2,1,23,4,2,3
80,4,5,1,2,7,3,6,4512736,3,2,1,53,4,4,3
81,2,4,5,6,7,1,3,2456713,0,2,1,21,6,4,3
82,3,2,1,5,7,4,6,3215746,3,1,1,46,6,1,3
83,6,2,1,3,5,7,4,6213574,3,2,0,69,2,4,3
84,7,2,1,3,5,6,4,7213564,2,2,1,18,2,1,3
85,6,2,1,5,7,3,4,6215734,2,1,1,40,5,6,3
86,5,4,1,3,7,6,2,5413762,0,2,0,37,3,4,3
87,3,2,1,7,6,4,5,3217645,3,1,0,38,6,3,3
88,4,2,1,7,6,3,5,4217635,3,2,0,38,3,4,3
89,3,4,1,2,6,7,5,3412675,1,2,1,52,5,4,3
90,5,2,1,3,6,7,4,5213674,0,1,0,19,2,4,3
91,4,2,1,6,5,7,3,4216573,3,1,0,52,3,5,3
92,7,5,1,2,6,4,3,7512643,0,2,0,21,2,4,3
93,4,3,2,1,7,6,5,4321765,2,2,0,33,3,4,3
94,7,2,1,6,4,3,5,7216435,0,1,1,50,4,4,3
95,5,2,1,3,7,6,4,5213764,2,2,1,56,4,1,3
96,4,3,1,2,6,7,5,4312675,0,2,0,50,1,4,3
97,7,2,1,5,6,4,3,7215643,0,1,0,72,4,4,3
98,4,3,1,5,7,2,6,4315726,1,1,1,47,3,5,3
99,7,5,1,4,3,2,6,7514326,0,2,0,39,3,1,3
100,NA,NA,NA,NA,NA,NA,NA,-------,1,2,1,54,6,3,3
101,5,1,2,3,7,4,6,5123746,0,2,1,69,6,4,3
102,2,1,6,4,3,5,7,2164357,2,2,1,44,5,4,3
103,4,2,1,3,6,5,7,4213657,1,2,1,71,3,2,3
104,6,4,3,2,7,1,5,6432715,3,2,1,31,4,4,3
105,7,2,1,3,6,4,5,7213645,2,2,1,51,1,1,3
106,5,4,1,3,6,7,2,5413672,2,1,1,51,3,5,3
107,7,2,3,4,6,1,5,7234615,2,1,1,62,3,3,3
